# OSD-522 shoot proteome — SOL/MEM reconciliation
# proteins seen in both fractions; the row with the smaller adjusted p-value was kept
accession	gene	kept_fraction	kept_log2fc	kept_adj_p	dropped
Q42351	RPL34A	MEM	1.1300	0.004122	SOL log2fc=-0.220 adj_p=0.13
Q42403	TRX3	MEM	0.8200	0.03158	SOL log2fc=0.350 adj_p=0.687
Q42404	RNU1	MEM	-0.7400	0.02434	SOL log2fc=-0.400 adj_p=0.0596
Q42406	CYP18-4	MEM	0.7000	0.01809	SOL log2fc=-0.010 adj_p=0.661
Q42418	PRF2	MEM	0.6000	0.01459	SOL log2fc=0.030 adj_p=0.968
Q42449	PRF1	MEM	0.8200	0.02457	SOL log2fc=0.250 adj_p=0.11
Q42472	GAD2	SOL	-0.2800	0.09408	MEM log2fc=0.020 adj_p=0.357
Q42479	CPK3	SOL	0.1100	0.05502	MEM log2fc=0.070 adj_p=0.541
Q42512	COR15A	SOL	0.5700	0.2986	MEM log2fc=-0.280 adj_p=0.494
Q42521	GAD1	MEM	0.2900	0.06618	SOL log2fc=-0.090 adj_p=0.685
Q42522	GSA2	MEM	0.7900	0.03271	SOL log2fc=-0.210 adj_p=0.0657
Q42523	MCCA	MEM	0.3700	0.05218	SOL log2fc=0.370 adj_p=0.0998
Q42524	4CL1	MEM	0.9300	0.003642	SOL log2fc=0.110 adj_p=0.418
Q42529	TSA1	MEM	-0.4700	0.05006	SOL log2fc=-0.240 adj_p=0.96
Q42533	BCCP1	MEM	0.5700	0.1143	SOL log2fc=0.320 adj_p=0.15
Q42534	PME2	MEM	1.3300	0.007892	SOL log2fc=1.380 adj_p=0.0433
Q42545	FTSZ1	MEM	0.3300	0.1662	SOL log2fc=0.030 adj_p=0.785
Q42546	SAL1	SOL	-0.2700	0.02881	MEM log2fc=0.060 adj_p=0.583
Q42553	IPP2	MEM	-0.0600	0.2878	SOL log2fc=-0.030 adj_p=0.506
Q42560	ACO1	MEM	0.6200	0.005245	SOL log2fc=0.100 adj_p=0.0725
Q42586	PYRE-F	SOL	0.2500	0.09652	MEM log2fc=0.030 adj_p=0.989
Q42589	LTP1	MEM	1.5600	0.01116	SOL log2fc=0.890 adj_p=0.24
Q42592	APXS	MEM	0.8200	0.03878	SOL log2fc=0.500 adj_p=0.0421
Q42593	APXT	SOL	-0.6900	0.1396	MEM log2fc=0.060 adj_p=0.686
Q42601	CARB	MEM	0.4700	0.01479	SOL log2fc=0.050 adj_p=0.816
Q42605	UGE1	SOL	0.4200	0.0234	MEM log2fc=0.240 adj_p=0.136
Q43127	GLN2	SOL	0.1800	0.3943	MEM log2fc=0.140 adj_p=0.465
Q43291	RPL21A	SOL	0.4300	0.1498	MEM log2fc=0.180 adj_p=0.483
Q43292	RPL37B	MEM	-0.3200	0.05318	SOL log2fc=0.830 adj_p=0.112
Q43307	ATS1	SOL	-0.2400	0.01901	MEM log2fc=-0.050 adj_p=0.871
Q43314	GDH1	MEM	-0.2400	0.01785	SOL log2fc=0.070 adj_p=0.111
Q43315	FPS2	MEM	0.3500	0.02903	SOL log2fc=-0.700 adj_p=0.0409
Q43316	HEMC	MEM	0.7400	0.04833	SOL log2fc=-0.010 adj_p=0.625
Q43387	PER71	MEM	1.9300	0.008298	SOL log2fc=1.780 adj_p=0.121
Q43727	G6PD1	MEM	-0.3300	0.02959	SOL log2fc=-0.490 adj_p=0.0613
Q43729	PER57	MEM	1.9800	0.002789	SOL log2fc=2.530 adj_p=0.067
Q43731	PER50	MEM	0.9100	0.006769	SOL log2fc=1.210 adj_p=0.025
Q43735	PER27	MEM	1.2800	0.04997	SOL log2fc=2.470 adj_p=0.0849
Q43870	APS2	MEM	-0.5300	0.00972	SOL log2fc=-0.250 adj_p=0.0488
Q494P3	At3g17770	SOL	-0.4400	0.02389	MEM log2fc=0.390 adj_p=0.0754
Q4V3D1	HON5	SOL	-0.3600	0.03457	MEM log2fc=-0.160 adj_p=0.074
Q501G7	At4g17470	MEM	-1.5100	0.02711	SOL log2fc=-1.170 adj_p=0.0434
Q56WD9	PED1	MEM	0.3300	0.03199	SOL log2fc=0.310 adj_p=0.0323
Q56WH4	HDT2	SOL	0.3400	0.2463	MEM log2fc=-0.040 adj_p=0.786
Q56WK6	PATL1	MEM	0.2700	0.02875	SOL log2fc=0.140 adj_p=0.246
Q56WN1	GLN1-1	MEM	0.6500	0.005245	SOL log2fc=-0.390 adj_p=0.018
Q56Y42	PLR1	SOL	-0.6300	0.0261	MEM log2fc=-0.230 adj_p=0.178
Q56Y85	MAP2B	MEM	0.6800	0.01017	SOL log2fc=-0.250 adj_p=0.186
Q56YA5	AGT1	SOL	-0.7100	0.04056	MEM log2fc=-0.010 adj_p=0.229
Q56YU0	ALDH2C4	MEM	0.5400	0.01533	SOL log2fc=-0.140 adj_p=0.14
Q56YW9	TUBB2	MEM	0.4400	0.01207	SOL log2fc=-0.090 adj_p=0.28
Q56Z59	PATL3	MEM	0.5500	0.01638	SOL log2fc=0.100 adj_p=0.1
Q56ZI2	PATL2	MEM	0.7000	0.0142	SOL log2fc=0.290 adj_p=0.0484
Q5GM68	PPC2	SOL	-0.4700	0.05053	MEM log2fc=-0.090 adj_p=0.783
Q5M729	At1g54220	SOL	-0.1700	0.08135	MEM log2fc=-0.150 adj_p=0.295
Q5M731	TH1	MEM	-0.4100	0.1663	SOL log2fc=0.000 adj_p=0.722
Q5QIT3	B''BETA	SOL	-1.0600	0.06957	MEM log2fc=0.070 adj_p=0.786
Q5S1W2	BON2	MEM	0.2700	0.2119	SOL log2fc=0.030 adj_p=0.622
Q5XEP2	HOP2	MEM	-0.1200	0.08254	SOL log2fc=-0.050 adj_p=0.216
Q5XF06	TIM44-2	SOL	-0.5800	0.1073	MEM log2fc=0.050 adj_p=0.822
Q5XF33	CHLI2	MEM	-0.3000	0.02175	SOL log2fc=-0.160 adj_p=0.258
Q5XF75	EFTS	MEM	0.4300	0.04363	SOL log2fc=0.050 adj_p=0.591
Q5XF82	JAL11	MEM	1.1500	0.003698	SOL log2fc=0.810 adj_p=0.0126
Q66GQ3	PDIL1-6	SOL	0.1900	0.1141	MEM log2fc=-0.080 adj_p=0.185
Q66GR6	WHY3	SOL	0.1500	0.138	MEM log2fc=-0.370 adj_p=0.265
Q67YI9	EPSIN2	SOL	-0.3500	0.02019	MEM log2fc=-0.310 adj_p=0.0358
Q680A5	PRS4	SOL	-0.1600	0.1603	MEM log2fc=-0.010 adj_p=0.737
Q681K2	ATS3A	MEM	-0.5800	0.02585	SOL log2fc=-0.250 adj_p=0.427
Q6DYE4	At1g26090	MEM	-0.9100	0.07315	SOL log2fc=-0.160 adj_p=0.095
Q6GKU7	At1g64880	MEM	-0.4000	0.05205	SOL log2fc=-0.140 adj_p=0.341
Q6ICZ8	At5g13850	SOL	0.4300	0.1637	MEM log2fc=0.300 adj_p=0.254
Q6ID97	ARFA1F	MEM	0.6100	0.009761	SOL log2fc=-0.120 adj_p=0.613
Q6NKW9	At1g64760	MEM	-0.4500	0.1341	SOL log2fc=0.310 adj_p=0.171
Q6NL08	At1g29530	MEM	0.8600	0.03742	SOL log2fc=-0.470 adj_p=0.0454
Q6NL24	ECHIA	MEM	0.4600	0.03118	SOL log2fc=0.160 adj_p=0.392
Q6NLB0	GSTL1	SOL	-0.2800	0.0782	MEM log2fc=0.020 adj_p=0.469
Q6NMA9	At5g45170	SOL	-0.1200	0.03686	MEM log2fc=-0.220 adj_p=0.189
Q6NMH5	At3g16760	MEM	-1.2600	0.003642	SOL log2fc=-0.050 adj_p=0.349
Q6NPL0	At4g09040	SOL	-0.2200	0.2551	MEM log2fc=-0.260 adj_p=0.744
Q6NPR7	At1g29470	MEM	-1.0600	0.009026	SOL log2fc=-0.300 adj_p=0.111
Q6STH5	HCF101	MEM	-0.5400	0.00612	SOL log2fc=-0.570 adj_p=0.0507
Q6TBX7	CYP97C1	MEM	-0.6200	0.004436	SOL log2fc=-0.630 adj_p=0.0414
Q6WWW4	UPL3	MEM	-0.1300	0.1429	SOL log2fc=-0.590 adj_p=0.202
Q6XJG8	RPN1B	MEM	-0.2400	0.08987	SOL log2fc=-0.120 adj_p=0.256
Q6ZY51	GWD3	SOL	-0.6200	0.0115	MEM log2fc=0.140 adj_p=0.0291
Q70E96	ALDH3F1	SOL	-0.5100	0.1052	MEM log2fc=0.050 adj_p=0.564
Q75W54	EBM	SOL	0.1500	0.0932	MEM log2fc=0.170 adj_p=0.228
Q76FS5	SPS2	SOL	-0.8200	0.08192	MEM log2fc=-0.110 adj_p=0.867
Q7DLR9	PBG1	MEM	0.4900	0.0658	SOL log2fc=0.090 adj_p=0.259
Q7DLS1	PBB2	MEM	0.2000	0.347	SOL log2fc=0.000 adj_p=0.708
Q7G192	AAO2	SOL	0.1500	0.143	MEM log2fc=0.020 adj_p=0.732
Q7G193	AAO1	SOL	-0.1800	0.6179	MEM log2fc=-0.020 adj_p=0.972
Q7X659	VPS35A	SOL	-0.5400	0.146	MEM log2fc=-0.100 adj_p=0.188
Q7XA74	MVP1	SOL	0.3300	0.1655	MEM log2fc=0.070 adj_p=0.476
Q7XZU0	SAC9	SOL	-0.4300	0.05422	MEM log2fc=-0.360 adj_p=0.0876
Q7Y175	PUX5	MEM	-0.5000	0.06339	SOL log2fc=-0.060 adj_p=0.737
Q7Y232	UGT73B4	MEM	0.8100	0.02909	SOL log2fc=0.240 adj_p=0.0662
Q84J81	Fes1A	SOL	-0.1100	0.1003	MEM log2fc=0.100 adj_p=0.292
Q84JB7	DEK2	MEM	-0.5000	0.07178	SOL log2fc=-0.020 adj_p=0.38
Q84JF5	PTAC14	MEM	0.4400	0.01986	SOL log2fc=-0.390 adj_p=0.142
Q84K16	GAMMA-ADR	SOL	-0.4700	0.08891	MEM log2fc=-0.230 adj_p=0.0912
Q84K82	At5g20400	MEM	-0.0700	0.3138	SOL log2fc=0.020 adj_p=0.477
Q84L30	RAD23D	MEM	-0.4100	0.1461	SOL log2fc=0.660 adj_p=0.197
Q84L31	RAD23C	SOL	0.3000	0.1655	MEM log2fc=0.200 adj_p=0.289
Q84M92	ARP4	SOL	-0.3900	0.3397	MEM log2fc=0.020 adj_p=0.764
Q84MD8	FHY	MEM	2.0800	0.03683	SOL log2fc=0.000 adj_p=0.683
Q84TI2	At2g37690	MEM	-0.2700	0.03142	SOL log2fc=-0.080 adj_p=0.134
Q84VQ3	CIPK26	MEM	-0.3700	0.04749	SOL log2fc=-0.580 adj_p=0.121
Q84VW9	PPC3	MEM	-0.1400	0.04621	SOL log2fc=-0.220 adj_p=0.239
Q84W11	MUK11.3	MEM	1.5700	0.06025	SOL log2fc=0.700 adj_p=0.29
Q84W56	RNJ	MEM	0.5100	0.004436	SOL log2fc=-0.120 adj_p=0.167
Q84W65	SUFE1	MEM	-0.1300	0.02765	SOL log2fc=0.090 adj_p=0.078
Q84W89	RH37	MEM	-0.2900	0.2571	SOL log2fc=-0.350 adj_p=0.297
Q84WK5	GID8	MEM	0.3200	0.009329	SOL log2fc=-0.140 adj_p=0.303
Q84WM9	At5g12110	MEM	1.9100	0.003126	SOL log2fc=0.170 adj_p=0.242
Q84WS0	SBTI1.1	MEM	1.5500	0.005282	SOL log2fc=0.850 adj_p=0.0979
Q84WT8	CYS4	MEM	0.3600	0.04102	SOL log2fc=0.400 adj_p=0.126
Q84WU5	At5g14720	SOL	-0.9100	0.1662	MEM log2fc=-0.120 adj_p=0.572
Q84WV1	CCT3	MEM	0.3900	0.02276	SOL log2fc=0.060 adj_p=0.928
Q84WW2	PGL3	MEM	0.2400	0.1399	SOL log2fc=-0.130 adj_p=0.26
Q84XU2	PAPP5	SOL	-0.2100	0.2176	MEM log2fc=-0.020 adj_p=1
Q8GRX2	At5g37475	MEM	0.4900	0.03105	SOL log2fc=0.150 adj_p=0.117
Q8GTR4	PU1	SOL	-0.4700	0.04239	MEM log2fc=-0.560 adj_p=0.0552
Q8GUG7	RH50	MEM	-0.2100	0.1561	SOL log2fc=-0.110 adj_p=0.184
Q8GUI4	At1g61900	MEM	0.7500	0.02798	SOL log2fc=0.210 adj_p=0.293
Q8GUK4	SBT3.13	MEM	-1.5600	0.02241	SOL log2fc=-1.610 adj_p=0.0433
Q8GUL8	At5g19230	MEM	0.3400	0.02187	SOL log2fc=0.350 adj_p=0.396
Q8GUM2	HSP70-9	MEM	-0.1000	0.07275	SOL log2fc=-0.220 adj_p=0.136
Q8GUN2	HINT1	MEM	0.6300	0.01559	SOL log2fc=-0.010 adj_p=0.828
Q8GUQ8	XDH1	SOL	-0.0700	0.3347	MEM log2fc=-0.030 adj_p=0.558
Q8GW48	HSBP	MEM	1.5200	0.02901	SOL log2fc=0.060 adj_p=0.972
Q8GW56	At2g03640	SOL	-0.3600	0.2213	MEM log2fc=0.390 adj_p=0.424
Q8GW72	FUC1	MEM	-0.3600	0.2797	SOL log2fc=0.070 adj_p=0.608
Q8GW78	CLPT2	SOL	0.2700	0.1712	MEM log2fc=-0.270 adj_p=0.544
Q8GWP4	At2g21530	MEM	0.7700	0.036	SOL log2fc=0.090 adj_p=0.479
Q8GWP5	PYRD	SOL	-0.2900	0.09793	MEM log2fc=-0.140 adj_p=0.751
Q8GWW8	GFA2	MEM	0.9600	0.02858	SOL log2fc=-0.370 adj_p=0.16
Q8GXG9	At1g44835	MEM	0.1800	0.1336	SOL log2fc=-0.030 adj_p=0.614
Q8GXR5	PPCS1	MEM	0.4800	0.09021	SOL log2fc=-0.230 adj_p=0.237
Q8GXR9	NDC1	MEM	-0.3400	0.1199	SOL log2fc=-0.180 adj_p=0.664
Q8GXS3	CFIS2	MEM	-0.7200	0.01151	SOL log2fc=-0.500 adj_p=0.104
Q8GY23	UPL1	MEM	-0.4600	0.03756	SOL log2fc=-0.940 adj_p=0.17
Q8GY46	At5g13560	MEM	-0.3100	0.06267	SOL log2fc=-0.670 adj_p=0.166
Q8GYI4	At2g43180	MEM	-0.2100	0.1243	SOL log2fc=-0.240 adj_p=0.358
Q8GYN5	RIN4	MEM	0.7600	0.04382	SOL log2fc=-0.400 adj_p=0.111
Q8GYN9	MENB	MEM	-0.7200	0.03952	SOL log2fc=-0.290 adj_p=0.0507
Q8GYZ0	At4g31530	SOL	-0.0900	0.1053	MEM log2fc=-0.380 adj_p=0.497
Q8GZ29	GH3.15	MEM	0.6300	0.03199	SOL log2fc=0.420 adj_p=0.073
Q8GZ87	IQD28	MEM	0.5300	0.05309	SOL log2fc=-0.030 adj_p=0.994
Q8GZQ3	PNP1	SOL	-0.1600	0.02442	MEM log2fc=0.290 adj_p=0.0324
Q8H0S3	At1g05520	MEM	0.3400	0.03331	SOL log2fc=-0.850 adj_p=0.0372
Q8H0T4	UPL2	SOL	-0.5900	0.04642	MEM log2fc=-0.330 adj_p=0.0555
Q8H0U3	At1g23180	MEM	-0.4300	0.022	SOL log2fc=-0.230 adj_p=0.141
Q8H0U4	TRN1	SOL	-0.3300	0.0421	MEM log2fc=-0.080 adj_p=0.629
Q8H0U5	TIC62	SOL	-0.5500	0.04206	MEM log2fc=-0.420 adj_p=0.0825
Q8H0V6	ABCF3	SOL	-0.1000	0.283	MEM log2fc=-0.020 adj_p=0.852
Q8H0W0	LPA3	SOL	-0.6400	0.05073	MEM log2fc=-0.180 adj_p=0.641
Q8H0X6	CYS6	MEM	1.0300	0.01666	SOL log2fc=0.340 adj_p=0.0244
Q8H103	PGI1	SOL	-0.2300	0.04626	MEM log2fc=-0.020 adj_p=0.714
Q8H104	At4g26870	SOL	-0.4600	0.1625	MEM log2fc=0.140 adj_p=0.204
Q8H107	At4g26910	MEM	-0.3000	0.09228	SOL log2fc=-0.110 adj_p=0.347
Q8H121	At4g19880	MEM	0.5800	0.01699	SOL log2fc=0.190 adj_p=0.3
Q8H124	At2g34460	MEM	0.1300	0.09727	SOL log2fc=-0.110 adj_p=0.204
Q8H126	At5g13030	MEM	0.7600	0.009761	SOL log2fc=-0.140 adj_p=0.0403
Q8H151	AAE13	SOL	0.2100	0.588	MEM log2fc=-0.010 adj_p=0.903
Q8H183	PYD3	SOL	-0.2800	0.04658	MEM log2fc=-0.310 adj_p=0.0605
Q8H1E2	At5g58330	SOL	0.0500	0.4739	MEM log2fc=-0.150 adj_p=0.895
Q8H1G6	PTI11	SOL	-0.2700	0.1785	MEM log2fc=0.340 adj_p=0.204
Q8H1Q2	NBP35	MEM	0.4200	0.0214	SOL log2fc=-0.100 adj_p=0.0523
Q8H1S4	At1g06650	SOL	-0.0500	0.8219	MEM log2fc=0.140 adj_p=0.923
Q8H1Y0	IAR4	MEM	-0.4100	0.01878	SOL log2fc=0.030 adj_p=0.774
Q8H7F6	GRXS16	MEM	-0.4500	0.01835	SOL log2fc=-0.070 adj_p=0.799
Q8L466	At1g24050	SOL	0.0100	0.4236	MEM log2fc=0.110 adj_p=0.519
Q8L4D8	IQD31	MEM	0.4200	0.08252	SOL log2fc=-0.020 adj_p=0.994
Q8L4Q6	At5g25070	MEM	0.2400	0.1359	SOL log2fc=-0.440 adj_p=0.148
Q8L4R9	At2g15860	MEM	0.7300	0.01625	SOL log2fc=-0.420 adj_p=0.0945
Q8L539	5FCL	SOL	-0.0400	0.6069	MEM log2fc=0.040 adj_p=0.847
Q8L5U0	CSN4	MEM	1.1600	0.01888	SOL log2fc=-0.290 adj_p=0.0416
Q8L5Y6	CAND1	SOL	-0.4600	0.03967	MEM log2fc=0.010 adj_p=0.562
Q8L5Y8	At5g65840	SOL	-0.3300	0.05806	MEM log2fc=-0.010 adj_p=0.98
Q8L5Y9	PANK2	SOL	-0.4400	0.1737	MEM log2fc=0.330 adj_p=0.213
Q8L5Z4	YBEY	MEM	-0.1900	0.07743	SOL log2fc=-0.090 adj_p=0.273
Q8L5Z7	SNX2A	SOL	-0.2100	0.2163	MEM log2fc=0.000 adj_p=0.461
Q8L601	At2g22400	MEM	-0.3200	0.02457	SOL log2fc=-0.140 adj_p=0.151
Q8L6Y1	UBP14	MEM	-0.1300	0.284	SOL log2fc=-0.100 adj_p=0.934
Q8L719	ALY2	SOL	-0.1700	0.1478	MEM log2fc=-0.230 adj_p=0.242
Q8L735	ISA2	SOL	0.1200	0.4911	MEM log2fc=0.060 adj_p=0.939
Q8L773	ALY1	SOL	0.2900	0.216	MEM log2fc=0.120 adj_p=0.629
Q8L785	EDD1	MEM	-0.8400	0.009449	SOL log2fc=-0.260 adj_p=0.0555
Q8L794	XK1	MEM	-0.2700	0.02691	SOL log2fc=-0.390 adj_p=0.165
Q8L7A9	At1g31730	MEM	-0.6200	0.02694	SOL log2fc=-0.600 adj_p=0.0762
Q8L7C9	GSTU20	MEM	-1.5900	0.01625	SOL log2fc=-1.530 adj_p=0.0169
Q8L7K9	NAD-ME2	SOL	-0.1700	0.03106	MEM log2fc=-0.210 adj_p=0.407
Q8L7N0	CCT6B	MEM	-0.4900	0.02376	SOL log2fc=0.020 adj_p=0.734
Q8L7R2	HSK	SOL	-0.1800	0.03664	MEM log2fc=-0.110 adj_p=0.662
Q8L7S1	TLL1	MEM	-0.1200	0.01585	SOL log2fc=-0.860 adj_p=0.0909
Q8L7S6	HEXO3	MEM	-0.3200	0.1512	SOL log2fc=-0.040 adj_p=0.706
Q8L7S8	RH3	MEM	-0.1900	0.02197	SOL log2fc=-0.160 adj_p=0.132
Q8L7U5	BSL1	MEM	-0.2800	0.0727	SOL log2fc=-0.170 adj_p=0.295
Q8L7V3	At5g64030	MEM	-1.2800	0.007769	SOL log2fc=-0.290 adj_p=0.166
Q8L7W8	FUC95A	MEM	-0.1000	0.5811	SOL log2fc=-0.040 adj_p=0.77
Q8L828	At3g15980	MEM	-0.4900	0.01982	SOL log2fc=-0.370 adj_p=0.259
Q8L831	NUDT3	SOL	0.0000	0.7569	MEM log2fc=-0.060 adj_p=0.931
Q8L835	At1g18070	MEM	0.1800	0.1317	SOL log2fc=-0.040 adj_p=0.306
Q8L860	TOL9	MEM	0.8700	0.009761	SOL log2fc=0.120 adj_p=0.281
Q8L866	MHK10.21	MEM	0.7600	0.00646	SOL log2fc=-0.160 adj_p=0.211
Q8L8S0	MTI20.11	MEM	0.1100	0.3577	SOL log2fc=-0.020 adj_p=0.891
Q8L8T2	GRXC1	MEM	0.8200	0.01263	SOL log2fc=0.780 adj_p=0.104
Q8L940	PDX13	MEM	0.4400	0.01342	SOL log2fc=0.010 adj_p=0.867
Q8L953	RPS27D	MEM	-0.4300	0.01995	SOL log2fc=-0.120 adj_p=0.0725
Q8L9E3	MAF19.16	MEM	0.1500	0.09215	SOL log2fc=0.020 adj_p=0.56
Q8L9X1	At5g20060	MEM	0.1900	0.2065	SOL log2fc=0.110 adj_p=0.904
Q8L9X2	RBCX2	MEM	-0.7100	0.02779	SOL log2fc=-0.170 adj_p=0.155
Q8LA13	RH11	SOL	-0.1100	0.07716	MEM log2fc=0.140 adj_p=0.381
Q8LA16	AL7	SOL	-0.2500	0.1142	MEM log2fc=-0.120 adj_p=0.271
Q8LA96	At4g17720	SOL	-0.3700	0.1858	MEM log2fc=0.160 adj_p=0.296
Q8LAD0	PDX2	SOL	0.0400	0.3188	MEM log2fc=-0.140 adj_p=0.431
Q8LAH7	OPR1	MEM	0.4600	0.01264	SOL log2fc=0.260 adj_p=0.256
Q8LAM2	At4g14930	MEM	-0.2100	0.1764	SOL log2fc=0.200 adj_p=0.453
Q8LAN3	P4H4	MEM	-0.5000	0.0321	SOL log2fc=0.140 adj_p=0.532
Q8LAP6	PAP12	MEM	-0.8100	0.01377	SOL log2fc=0.190 adj_p=0.237
Q8LAS8	SFGH	MEM	0.8000	0.03584	SOL log2fc=-0.210 adj_p=0.0587
Q8LAZ7	CSN5A	MEM	-0.4600	0.0577	SOL log2fc=-0.200 adj_p=0.12
Q8LB02	SDH2-2	MEM	-0.3800	0.01046	SOL log2fc=-0.080 adj_p=0.208
Q8LB10	CLPR4	SOL	-0.1200	0.1948	MEM log2fc=0.240 adj_p=0.295
Q8LB47	Mge2	SOL	-0.0700	0.3471	MEM log2fc=-0.180 adj_p=0.48
Q8LBB2	KING1	MEM	0.2000	0.1141	SOL log2fc=0.100 adj_p=0.758
Q8LBK6	GRXS15	SOL	0.2000	0.1355	MEM log2fc=-0.250 adj_p=0.312
Q8LBS4	GRXS12	SOL	-0.4000	0.03417	MEM log2fc=0.440 adj_p=0.179
Q8LBU2	GPX8	MEM	0.7000	0.0156	SOL log2fc=-0.120 adj_p=0.278
Q8LC12	At4g01897	MEM	0.2900	0.02806	SOL log2fc=-0.390 adj_p=0.121
Q8LCA1	CURT1B	MEM	0.8900	0.09228	SOL log2fc=-0.570 adj_p=0.141
Q8LCL3	RPL27B	MEM	0.3600	0.006511	SOL log2fc=-0.370 adj_p=0.0261
Q8LD03	RPS7C	MEM	-0.1900	0.05517	SOL log2fc=0.300 adj_p=0.221
Q8LD49	ATHX	SOL	-0.1500	0.2648	MEM log2fc=-0.200 adj_p=0.872
Q8LDF2	MSJ1.9	SOL	0.6300	0.1669	MEM log2fc=0.110 adj_p=0.367
Q8LDI5	CXXS1	MEM	-0.2400	0.09738	SOL log2fc=0.050 adj_p=0.848
Q8LDL0	HHL1	MEM	-0.0900	0.3666	SOL log2fc=-0.110 adj_p=0.591
Q8LDN8	UGE3	SOL	0.3200	0.07536	MEM log2fc=-0.020 adj_p=0.841
Q8LDP4	CYP19-4	SOL	0.1800	0.07702	MEM log2fc=0.230 adj_p=0.11
Q8LDU1	At3g03890	SOL	-0.3000	0.1229	MEM log2fc=0.040 adj_p=0.94
Q8LDU4	RCCR	MEM	-0.3400	0.02788	SOL log2fc=-0.250 adj_p=0.402
Q8LDV3	At4g13200	MEM	-0.4600	0.03038	SOL log2fc=-0.130 adj_p=0.184
Q8LDW8	GLX2-4	SOL	-0.4100	0.2502	MEM log2fc=0.060 adj_p=0.494
Q8LE52	DHAR3	SOL	-0.2400	0.0234	MEM log2fc=-0.260 adj_p=0.525
Q8LE63	At4g11860	SOL	-0.5400	0.06916	MEM log2fc=0.000 adj_p=0.84
Q8LER3	XTH7	SOL	0.4300	0.07025	MEM log2fc=0.090 adj_p=0.484
Q8LEU3	NOL	MEM	0.9600	0.02686	SOL log2fc=-0.040 adj_p=0.867
Q8LEV7	PGL5	MEM	-1.1400	0.01497	SOL log2fc=-1.790 adj_p=0.057
Q8LF20	At2g25430	MEM	1.3900	0.02296	SOL log2fc=-0.780 adj_p=0.0407
Q8LF21	DRP1C	MEM	0.8700	0.01422	SOL log2fc=-0.560 adj_p=0.0672
Q8LF48	KAT1	MEM	-0.1500	0.2598	SOL log2fc=-0.080 adj_p=0.271
Q8LFC0	IDH1	SOL	0.1400	0.1712	MEM log2fc=-0.340 adj_p=0.559
Q8LFJ5	TRM112A	MEM	0.0500	0.1659	SOL log2fc=-0.080 adj_p=0.408
Q8LFL5	At1g49975	MEM	-1.0200	0.003684	SOL log2fc=0.300 adj_p=0.18
Q8LFS6	BRN1	MEM	0.5600	0.05876	SOL log2fc=-0.470 adj_p=0.142
Q8LG05	STKL1	MEM	0.2800	0.08031	SOL log2fc=-0.020 adj_p=0.659
Q8LG77	IDH6	MEM	1.4900	0.004283	SOL log2fc=-0.060 adj_p=0.473
Q8LGG8	At3g01520	SOL	0.2000	0.136	MEM log2fc=-0.220 adj_p=0.204
Q8LKS5	LACS7	MEM	0.8700	0.02113	SOL log2fc=-0.560 adj_p=0.183
Q8LPJ3	At5g13980	MEM	0.4600	0.0512	SOL log2fc=0.060 adj_p=0.409
Q8LPJ4	ABCE2	SOL	0.1700	0.04725	MEM log2fc=-0.170 adj_p=0.165
Q8LPJ5	At5g14590	MEM	0.9900	0.03584	SOL log2fc=0.180 adj_p=0.376
Q8LPR9	TIC110	SOL	-0.6200	0.04134	MEM log2fc=-0.250 adj_p=0.0805
Q8LPS1	LACS6	SOL	-0.0700	0.319	MEM log2fc=0.000 adj_p=0.827
Q8LPS6	At1g02150	MEM	-0.1800	0.04208	SOL log2fc=-0.320 adj_p=0.0433
Q8RUF8	NLP3	SOL	0.1900	0.2422	MEM log2fc=-0.270 adj_p=0.406
Q8RWG8	RANBP1B	MEM	0.2300	0.02572	SOL log2fc=0.030 adj_p=0.482
Q8RWN5	RZ1C	MEM	0.3500	0.07955	SOL log2fc=-0.140 adj_p=0.289
Q8RWN9	At3g13930	SOL	-0.1000	0.353	MEM log2fc=-0.080 adj_p=0.756
Q8RWU7	PUX4	MEM	0.7100	0.02828	SOL log2fc=-0.060 adj_p=0.237
Q8RWV9	HDC1	MEM	-0.6600	0.01091	SOL log2fc=-0.350 adj_p=0.112
Q8RWY3	CHR11	MEM	-0.6000	0.07661	SOL log2fc=-0.560 adj_p=0.135
Q8RWY6	CLASP	SOL	-0.5600	0.09166	MEM log2fc=0.050 adj_p=0.953
Q8RWZ3	IBR3	SOL	-0.0700	0.1197	MEM log2fc=0.020 adj_p=0.618
Q8RX69	At1g15060	MEM	-0.3900	0.04261	SOL log2fc=-0.230 adj_p=0.0641
Q8RX79	APG3	SOL	-0.3600	0.05073	MEM log2fc=0.070 adj_p=0.327
Q8RXD5	KTI4	MEM	-1.0700	0.0595	SOL log2fc=-0.200 adj_p=0.801
Q8RXD9	DPE2	MEM	-0.3400	0.06123	SOL log2fc=-0.400 adj_p=0.0915
Q8RXE9	OVA4	MEM	-0.2400	0.3187	SOL log2fc=0.030 adj_p=0.529
Q8RXK8	OVA2	MEM	-0.4700	0.02485	SOL log2fc=-0.310 adj_p=0.0614
Q8RXN1	TPR3	MEM	-0.4700	0.009043	SOL log2fc=-0.120 adj_p=0.0897
Q8RXU5	RPL37AC	MEM	0.2500	0.1575	SOL log2fc=0.130 adj_p=0.563
Q8RXZ8	ACIP1	MEM	0.2100	0.1029	SOL log2fc=-0.290 adj_p=0.128
