uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
Q9SHS8	-0.45	0.013210149	0.035296697	LSG1-1	MEM	GTPase LSG1-1 OS=Arabidopsis thaliana OX=3702 GN=LSG1-1 PE=1 SV=1	True
Q9SHU7	-0.19	0.08309237	0.126808207	TIC21	MEM	Protein TIC 21, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC21 PE=1 SV=1	False
Q9SI16	0.43	0.176057709	0.280206647	PER15	SOL	Peroxidase 15 OS=Arabidopsis thaliana OX=3702 GN=PER15 PE=2 SV=1	False
Q9SI20	0.97	0.00333136	0.016383931	At2g18110	MEM	Elongation factor 1-delta 2 OS=Arabidopsis thaliana OX=3702 GN=At2g18110 PE=1 SV=1	True
Q9SI37	-0.34	0.136505783	0.240658239	WRKY1	SOL	WRKY transcription factor 1 OS=Arabidopsis thaliana OX=3702 GN=WRKY1 PE=1 SV=1	False
Q9SI58	-0.34	0.100063804	0.147065147	NMD3	MEM	60S ribosomal export protein NMD3 OS=Arabidopsis thaliana OX=3702 GN=NMD3 PE=1 SV=1	False
Q9SI61	0.5	0.108477766	0.208946281	ASE1	SOL	Amidophosphoribosyltransferase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ASE1 PE=2 SV=1	False
Q9SI75	-0.24	0.015342319	0.075512785	CPEFG	SOL	Elongation factor G, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPEFG PE=1 SV=1	False
Q9SI85	-1.24	0.001487183	0.011082913	At1g62630	MEM	Probable disease resistance protein At1g62630 OS=Arabidopsis thaliana OX=3702 GN=At1g62630 PE=3 SV=2	True
Q9SI96	-0.68	0.012475244	0.033919238	At2g28720	MEM	Histone H2B.3 OS=Arabidopsis thaliana OX=3702 GN=At2g28720 PE=1 SV=3	True
Q9SIB9	0.48	0.005846052	0.022655279	ACO3	MEM	Aconitate hydratase 3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ACO3 PE=1 SV=2	True
Q9SID0	0.32	0.262469339	0.371583238	At2g31390	SOL	Probable fructokinase-1 OS=Arabidopsis thaliana OX=3702 GN=At2g31390 PE=2 SV=1	False
Q9SIE1	-0.31	1.04846e-05	0.009253624	PAT	SOL	Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase OS=Arabidopsis thaliana OX=3702 GN=PAT PE=1 SV=2	True
Q9SIE3	0.29	0.001212999	0.030707342	At2g22230	SOL	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Arabidopsis thaliana OX=3702 GN=At2g22230 PE=1 SV=2	True
Q9SIE7	0.46	0.000690532	0.008298263	PLAT2	MEM	PLAT domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=PLAT2 PE=2 SV=1	True
Q9SIF2	-0.08	0.169723547	0.272813255	HSP90-5	SOL	Heat shock protein 90-5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HSP90-5 PE=1 SV=1	False
Q9SIH0	0.29	0.038595278	0.117205358	RPS14A	SOL	40S ribosomal protein S14-1 OS=Arabidopsis thaliana OX=3702 GN=RPS14A PE=1 SV=1	False
Q9SIH1	0.25	0.219692151	0.326183666	CYP18-2	SOL	Peptidyl-prolyl cis-trans isomerase CYP18-2 OS=Arabidopsis thaliana OX=3702 GN=CYP18-2 PE=2 SV=1	False
Q9SII8	0.38	0.098380432	0.145045794	DSK2B	MEM	Ubiquitin domain-containing protein DSK2b OS=Arabidopsis thaliana OX=3702 GN=DSK2B PE=1 SV=1	False
Q9SII9	-0.21	0.031801423	0.107191588	DSK2A	SOL	Ubiquitin domain-containing protein DSK2a OS=Arabidopsis thaliana OX=3702 GN=DSK2A PE=1 SV=2	False
Q9SIL6	-0.45	0.022757237	0.04910216	PHB6	MEM	Prohibitin-6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PHB6 PE=1 SV=1	True
Q9SIM4	0.35	0.174511642	0.27894085	RPL14A	SOL	60S ribosomal protein L14-1 OS=Arabidopsis thaliana OX=3702 GN=RPL14A PE=2 SV=1	False
Q9SIN3	2.66	0.000362523	0.022452568	At2g42560	SOL	Late embryogenesis abundant domain-containing protein / LEA domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At2g42560 PE=1 SV=1	True
Q9SIN5	-0.44	0.076377055	0.118730674	COR15B	MEM	Protein COLD-REGULATED 15B, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=COR15B PE=1 SV=1	False
Q9SIP0	0.77	0.016196756	0.039640889	RABA5D	MEM	Ras-related protein RABA5d OS=Arabidopsis thaliana OX=3702 GN=RABA5D PE=1 SV=1	True
Q9SIP1	-0.31	0.017078912	0.040758688	UP3	MEM	Stress-response A/B barrel domain-containing protein UP3 OS=Arabidopsis thaliana OX=3702 GN=UP3 PE=1 SV=1	True
Q9SIP7	-0.02	0.721539433	0.763331679	RPS3A	MEM	40S ribosomal protein S3-1 OS=Arabidopsis thaliana OX=3702 GN=RPS3A PE=1 SV=1	False
Q9SIR5	0.09	0.182544419	0.288093444	At2g25280	SOL	AmmeMemoRadiSam system protein B OS=Arabidopsis thaliana OX=3702 GN=At2g25280 PE=1 SV=1	False
Q9SIT1	0.48	0.029754185	0.102886623	TMK3	SOL	Receptor-like kinase TMK3 OS=Arabidopsis thaliana OX=3702 GN=TMK3 PE=1 SV=1	False
Q9SIU0	-0.73	0.015506377	0.038588366	NAD-ME1	MEM	NAD-dependent malic enzyme 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NAD-ME1 PE=1 SV=1	True
Q9SIU2	-0.18	0.038591637	0.117205358	ABH1	SOL	Nuclear cap-binding protein subunit 1 OS=Arabidopsis thaliana OX=3702 GN=ABH1 PE=1 SV=2	False
Q9SIU8	0.67	0.01126538	0.032132958	PPC3-1.2	MEM	Probable protein phosphatase 2C 20 OS=Arabidopsis thaliana OX=3702 GN=PPC3-1.2 PE=1 SV=3	True
Q9SIV0	-0.58	0.007977648	0.026864376	SUR1	MEM	S-alkyl-thiohydroximate lyase SUR1 OS=Arabidopsis thaliana OX=3702 GN=SUR1 PE=1 SV=1	True
Q9SIV2	0.18	0.000831989	0.009025555	RPN1A	MEM	26S proteasome non-ATPase regulatory subunit 2 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN1A PE=1 SV=2	True
Q9SIV9	0.57	0.061409281	0.149862847	PAP10	SOL	Purple acid phosphatase 10 OS=Arabidopsis thaliana OX=3702 GN=PAP10 PE=2 SV=1	False
Q9SIX1	-0.93	0.002384407	0.013870358	KCS9	MEM	3-ketoacyl-CoA synthase 9 OS=Arabidopsis thaliana OX=3702 GN=KCS9 PE=2 SV=1	True
Q9SIY3	0.4	0.025528293	0.095094429	TTM3	SOL	Triphosphate tunnel metalloenzyme 3 OS=Arabidopsis thaliana OX=3702 GN=TTM3 PE=1 SV=1	False
Q9SIZ2	0.15	0.015925097	0.039151303	At2g40290	MEM	Eukaryotic translation initiation factor 2 subunit alpha homolog OS=Arabidopsis thaliana OX=3702 GN=At2g40290 PE=1 SV=2	True
Q9SJ03	-0.26	0.041398374	0.0747455	At2g21960	MEM	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g21960 PE=1 SV=2	False
Q9SJ12	0.9	0.022215793	0.089235438	At2g21870	SOL	Probable ATP synthase 24 kDa subunit, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g21870 PE=1 SV=1	False
Q9SJ13	-0.65	0.000969333	0.009593192	At2g21860	MEM	At2g21860/F7D8.18 OS=Arabidopsis thaliana OX=3702 GN=At2g21860 PE=1 SV=1	True
Q9SJ20	-0.62	0.000569376	0.007733351	RNR1	MEM	Ribonucleoside-diphosphate reductase large subunit OS=Arabidopsis thaliana OX=3702 GN=RNR1 PE=1 SV=1	True
Q9SJ31	-1.29	0.006098373	0.023222793	At2g05310	MEM	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g05310 PE=1 SV=1	True
Q9SJ40	-0.25	0.057419623	0.094997429	VPS11	MEM	Vacuolar protein-sorting-associated protein 11 homolog OS=Arabidopsis thaliana OX=3702 GN=VPS11 PE=1 SV=1	False
Q9SJ44	0.06	0.215779059	0.322237578	UEV1C	SOL	Ubiquitin-conjugating enzyme E2 variant 1C OS=Arabidopsis thaliana OX=3702 GN=UEV1C PE=1 SV=1	False
Q9SJ62	1.08	0.000164908	0.004693355	WDL4	MEM	Protein WVD2-like 4 OS=Arabidopsis thaliana OX=3702 GN=WDL4 PE=1 SV=2	True
Q9SJ66	-0.3	0.138109168	0.242277909	SPP2	SOL	Probable sucrose-phosphatase 2 OS=Arabidopsis thaliana OX=3702 GN=SPP2 PE=2 SV=2	False
Q9SJ67	-0.45	0.000240749	0.019007358	At2g35830	SOL	At2g35830/F11F19.26 OS=Arabidopsis thaliana OX=3702 GN=At2g35830 PE=1 SV=2	True
Q9SJ81	1.43	4.05467e-05	0.003642269	FLA7	MEM	Fasciclin-like arabinogalactan protein 7 OS=Arabidopsis thaliana OX=3702 GN=FLA7 PE=2 SV=1	True
Q9SJ89	0.23	0.332723285	0.43795569	FTRC	SOL	Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FTRC PE=1 SV=1	False
Q9SJA6	-0.13	0.344314874	0.408023224	RSZ22A	MEM	Serine/arginine-rich splicing factor RSZ22A OS=Arabidopsis thaliana OX=3702 GN=RSZ22A PE=1 SV=1	False
Q9SJA7	-0.2	0.104202068	0.203226597	At2g24580	SOL	Probable sarcosine oxidase OS=Arabidopsis thaliana OX=3702 GN=At2g24580 PE=2 SV=1	False
Q9SJB9	-0.21	0.085821456	0.18043837	At2g04520	SOL	Eukaryotic translation initiation factor 4C OS=Arabidopsis thaliana OX=3702 GN=At2g04520 PE=1 SV=1	False
Q9SJD4	-0.41	0.001821057	0.01231824	LACS8	MEM	Long chain acyl-CoA synthetase 8 OS=Arabidopsis thaliana OX=3702 GN=LACS8 PE=1 SV=1	True
Q9SJE1	-0.41	0.006883271	0.025006346	CHLD	MEM	Magnesium-chelatase subunit ChlD, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CHLD PE=1 SV=3	True
Q9SJH7	0.2	0.033930619	0.110104119	CSY3	SOL	Citrate synthase 3, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=CSY3 PE=2 SV=1	False
Q9SJI7	-0.18	0.089560672	0.184407135	At2g42690	SOL	Phospholipase A1-IIdelta OS=Arabidopsis thaliana OX=3702 GN=At2g42690 PE=1 SV=1	False
Q9SJI8	0.35	0.080070546	0.172948306	MBF1A	SOL	Multiprotein-bridging factor 1a OS=Arabidopsis thaliana OX=3702 GN=MBF1A PE=2 SV=1	False
Q9SJJ5	0.5	0.033041384	0.108876294	CKS2	SOL	Cyclin-dependent kinases regulatory subunit 2 OS=Arabidopsis thaliana OX=3702 GN=CKS2 PE=1 SV=1	False
Q9SJL8	0.37	0.007619251	0.026282741	METK3	MEM	S-adenosylmethionine synthase 3 OS=Arabidopsis thaliana OX=3702 GN=METK3 PE=1 SV=1	True
Q9SJM0	-0.66	0.013061067	0.034990754	CALS10	MEM	Callose synthase 10 OS=Arabidopsis thaliana OX=3702 GN=CALS10 PE=2 SV=5	True
Q9SJM7	-0.22	0.09143087	0.187325775	URH1	SOL	Uridine nucleosidase 1 OS=Arabidopsis thaliana OX=3702 GN=URH1 PE=1 SV=2	False
Q9SJQ0	0.41	0.020094219	0.084890287	At2g36580	SOL	Pyruvate kinase OS=Arabidopsis thaliana OX=3702 GN=At2g36580 PE=1 SV=2	False
Q9SJQ5	0.33	0.106623513	0.155160086	CBSCBSPB2	MEM	CBS domain-containing protein CBSCBSPB2 OS=Arabidopsis thaliana OX=3702 GN=CBSCBSPB2 PE=2 SV=1	False
Q9SJQ9	0.25	0.151771908	0.206352062	FBA6	MEM	Fructose-bisphosphate aldolase 6, cytosolic OS=Arabidopsis thaliana OX=3702 GN=FBA6 PE=1 SV=1	False
Q9SJR2	-0.78	0.005620062	0.022159463	At2g36430	MEM	Transmembrane protein, putative (DUF247) OS=Arabidopsis thaliana OX=3702 GN=At2g36430 PE=1 SV=1	True
Q9SJT1	-0.61	0.008511087	0.057407605	SAE2	SOL	SUMO-activating enzyme subunit 2 OS=Arabidopsis thaliana OX=3702 GN=SAE2 PE=1 SV=1	False
Q9SJT7	-0.52	0.00658948	0.024353894	VHA-a2	MEM	V-type proton ATPase subunit a2 OS=Arabidopsis thaliana OX=3702 GN=VHA-a2 PE=1 SV=1	True
Q9SJT9	-0.68	0.001666606	0.011777771	At2g21390	MEM	Coatomer subunit alpha-2 OS=Arabidopsis thaliana OX=3702 GN=At2g21390 PE=2 SV=1	True
Q9SJU0	-0.51	0.028609831	0.057374009	KIN7M	MEM	Kinesin-like protein KIN-7M, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7M PE=2 SV=2	False
Q9SJU4	-0.42	0.372624178	0.477161858	FBA1	SOL	Fructose-bisphosphate aldolase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FBA1 PE=1 SV=2	False
Q9SJU9	-0.44	0.000435075	0.006899584	GC1	MEM	Epimerase family protein SDR39U1 homolog, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GC1 PE=2 SV=2	True
Q9SJV2	0.13	0.906812556	0.929067159	At2g21250	SOL	NAD(P)-linked oxidoreductase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g21250 PE=1 SV=1	False
Q9SJW3	0.81	0.014349619	0.073590076	SPR1	SOL	Protein SPIRAL1 OS=Arabidopsis thaliana OX=3702 GN=SPR1 PE=2 SV=1	False
Q9SJX7	-0.65	0.006881682	0.025006346	RUS2	MEM	Protein root UVB sensitive 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RUS2 PE=1 SV=2	True
Q9SJZ2	0.48	0.061575796	0.150170575	PER17	SOL	Peroxidase 17 OS=Arabidopsis thaliana OX=3702 GN=PER17 PE=2 SV=1	False
Q9SJZ7	-0.26	0.015937811	0.077160178	DJA6	SOL	Chaperone protein dnaJ A6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DJA6 PE=2 SV=2	False
Q9SK09	2.69	0.045796375	0.128323099	At2g28490	SOL	Vicilin-like seed storage protein At2g28490 OS=Arabidopsis thaliana OX=3702 GN=At2g28490 PE=2 SV=1	False
Q9SK27	0.08	0.238912414	0.347394525	At2g25060	SOL	Early nodulin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At2g25060 PE=2 SV=2	False
Q9SK39	0.21	0.297392549	0.406161374	MP3	SOL	Probable steroid-binding protein 3 OS=Arabidopsis thaliana OX=3702 GN=MP3 PE=1 SV=1	False
Q9SK50	0.08	0.50917993	0.567976124	TIC55	MEM	Protein TIC 55, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC55 PE=1 SV=1	False
Q9SK66	-0.42	0.096795172	0.143053043	At2g20360	MEM	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g20360 PE=1 SV=2	False
Q9SK74	-0.09	0.334810411	0.439804873	At2g20280	SOL	Zinc finger CCCH domain-containing protein 21 OS=Arabidopsis thaliana OX=3702 GN=At2g20280 PE=4 SV=1	False
Q9SK82	0.4	0.019544214	0.083998296	UGT85A1	SOL	UDP-glycosyltransferase 85A1 OS=Arabidopsis thaliana OX=3702 GN=UGT85A1 PE=2 SV=1	False
Q9SK84	0.0	0.935212311	0.949653278	At1g22410	SOL	Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Arabidopsis thaliana OX=3702 GN=At1g22410 PE=1 SV=1	False
Q9SK86	-0.71	0.002547937	0.014448869	At1g22430	MEM	Alcohol dehydrogenase-like 1 OS=Arabidopsis thaliana OX=3702 GN=At1g22430 PE=2 SV=1	True
Q9SK87	0.79	0.01056946	0.0310054	At1g22440	MEM	Alcohol dehydrogenase-like 2 OS=Arabidopsis thaliana OX=3702 GN=At1g22440 PE=2 SV=1	True
Q9SKA5	0.1	0.790862834	0.837165487	At1g22630	SOL	At1g22630/F12K8_2 OS=Arabidopsis thaliana OX=3702 GN=At1g22630 PE=1 SV=1	False
Q9SKB2	-0.24	0.105884923	0.154206017	SOBIR1	MEM	Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1 OS=Arabidopsis thaliana OX=3702 GN=SOBIR1 PE=1 SV=1	False
Q9SKC1	-1.21	0.000755229	0.008600916	UGT74C1	MEM	UDP-glycosyltransferase 74C1 OS=Arabidopsis thaliana OX=3702 GN=UGT74C1 PE=2 SV=1	True
Q9SKC5	0.28	0.00917384	0.028987587	UGT74D1	MEM	UDP-glycosyltransferase 74D1 OS=Arabidopsis thaliana OX=3702 GN=UGT74D1 PE=1 SV=1	True
Q9SKC9	0.68	0.018551532	0.042887864	At2g02050	MEM	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Arabidopsis thaliana OX=3702 GN=At2g02050 PE=1 SV=1	True
Q9SKI0	-0.53	0.052281782	0.088465877	At2g10940	MEM	At2g10940/F15K19.1 OS=Arabidopsis thaliana OX=3702 GN=At2g10940 PE=1 SV=1	False
Q9SKI2	-0.08	0.248632866	0.357091386	VPS2.1	SOL	Vacuolar protein sorting-associated protein 2 homolog 1 OS=Arabidopsis thaliana OX=3702 GN=VPS2.1 PE=1 SV=2	False
Q9SKJ7	-0.92	0.000348837	0.006319193	At2g25520	MEM	Probable sugar phosphate/phosphate translocator At2g25520 OS=Arabidopsis thaliana OX=3702 GN=At2g25520 PE=1 SV=1	True
Q9SKK4	-0.28	0.127874194	0.231087825	GSL-OH	SOL	Probable 2-oxoacid dependent dioxygenase OS=Arabidopsis thaliana OX=3702 GN=GSL-OH PE=1 SV=1	False
Q9SKL6	1.36	0.000565802	0.024419573	At2g15220	SOL	At2g15220/F15A23.4 OS=Arabidopsis thaliana OX=3702 GN=At2g15220 PE=1 SV=1	True
Q9SKM7	-0.15	0.235000349	0.295995967	At2g28430	MEM	At2g28430/T1B3.5 OS=Arabidopsis thaliana OX=3702 GN=At2g28430 PE=1 SV=1	False
Q9SKP6	0.2	0.276596654	0.34004666	TIM	MEM	Triosephosphate isomerase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIM PE=1 SV=1	False
Q9SKQ0	0.66	0.024593801	0.051872491	CYP19-2	MEM	Peptidyl-prolyl cis-trans isomerase CYP19-2 OS=Arabidopsis thaliana OX=3702 GN=CYP19-2 PE=2 SV=1	False
Q9SKR7	-0.81	0.001868272	0.012436858	At2g20940	MEM	At2g20940 OS=Arabidopsis thaliana OX=3702 GN=At2g20940 PE=1 SV=1	True
Q9SKT0	-0.18	0.001407349	0.032276056	THF1	SOL	Protein THYLAKOID FORMATION 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=THF1 PE=1 SV=1	True
Q9SKT4	-0.37	0.017588434	0.080381088	At2g20830	SOL	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g20830 PE=1 SV=2	False
Q9SKU1	-0.21	0.164704282	0.220166411	At2g20760	MEM	Clathrin light chain 1 OS=Arabidopsis thaliana OX=3702 GN=At2g20760 PE=2 SV=1	False
Q9SKU8	0.06	0.102731265	0.201689836	At2g20690	SOL	At2g20690/F5H14.34 OS=Arabidopsis thaliana OX=3702 GN=At2g20690 PE=1 SV=2	False
Q9SKX2	0.87	0.020268984	0.085191642	PME16	SOL	Probable pectinesterase/pectinesterase inhibitor 16 OS=Arabidopsis thaliana OX=3702 GN=PME16 PE=2 SV=1	False
Q9SKX4	0.7	0.063819863	0.153576878	RPL3A	SOL	50S ribosomal protein L3-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPL3A PE=2 SV=1	False
Q9SKZ0	-0.04	0.245991212	0.354535539	At2g32090	SOL	At2g32090/F22D22.16 OS=Arabidopsis thaliana OX=3702 GN=At2g32090 PE=1 SV=2	False
Q9SKZ1	-0.45	0.011329704	0.032247149	PURA1	MEM	Transcription factor Pur-alpha 1 OS=Arabidopsis thaliana OX=3702 GN=PURA1 PE=1 SV=2	True
Q9SKZ3	1.06	0.00136417	0.010653135	RPS12C	MEM	40S ribosomal protein S12-2 OS=Arabidopsis thaliana OX=3702 GN=RPS12C PE=1 SV=1	True
Q9SL03	0.05	0.930966758	0.941196049	CALS2	MEM	Callose synthase 2 OS=Arabidopsis thaliana OX=3702 GN=CALS2 PE=2 SV=3	False
Q9SL05	0.65	0.123343046	0.174039922	PGR5	MEM	Protein PROTON GRADIENT REGULATION 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGR5 PE=1 SV=1	False
Q9SL09	0.71	0.140223164	0.194028271	At2g05580	MEM	Glycine-rich protein family OS=Arabidopsis thaliana OX=3702 GN=At2g05580 PE=1 SV=1	False
Q9SL13	0.2	0.073971905	0.115610648	At2g05540	MEM	At2g05540/T20G20.11 OS=Arabidopsis thaliana OX=3702 GN=At2g05540 PE=1 SV=1	False
Q9SL15	0.62	0.017891938	0.042028183	GRP3	MEM	Glycine-rich protein 3 OS=Arabidopsis thaliana OX=3702 GN=GRP3 PE=1 SV=1	True
Q9SL42	0.19	0.107097785	0.207176331	PIN1	SOL	Peptidyl-prolyl cis-trans isomerase Pin1 OS=Arabidopsis thaliana OX=3702 GN=PIN1 PE=1 SV=1	False
Q9SL48	0.39	0.047094875	0.08204008	SLY1	MEM	SEC1 family transport protein SLY1 OS=Arabidopsis thaliana OX=3702 GN=SLY1 PE=1 SV=1	False
Q9SL67	-0.03	0.21029641	0.317559972	RPT2B	SOL	26S proteasome regulatory subunit 4 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPT2B PE=1 SV=1	False
Q9SL80	0.71	0.012798978	0.034545717	At2g20010	MEM	Gls protein (DUF810) OS=Arabidopsis thaliana OX=3702 GN=At2g20010 PE=1 SV=1	True
Q9SL96	-0.09	0.09613293	0.192914881	At2g25670	SOL	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g25670 PE=1 SV=1	False
Q9SLA8	0.38	0.082480953	0.126135587	MOD1	MEM	Enoyl-[acyl-carrier-protein] reductase [NADH], chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MOD1 PE=1 SV=1	False
Q9SLF3	-0.29	0.027529213	0.056090545	TOC132	MEM	Translocase of chloroplast 132, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TOC132 PE=1 SV=1	False
Q9SLF7	5.12	0.000499003	0.007350779	RPP2B	MEM	60S acidic ribosomal protein P2-2 OS=Arabidopsis thaliana OX=3702 GN=RPP2B PE=1 SV=1	True
Q9SLI4	-0.72	0.020264443	0.045520298	F20D21.31	MEM	At1g54500/F20D21_31 OS=Arabidopsis thaliana OX=3702 GN=F20D21.31 PE=1 SV=1	True
Q9SLJ2	0.4	0.229443994	0.290295853	HIRD11	MEM	Dehydrin HIRD11 OS=Arabidopsis thaliana OX=3702 GN=HIRD11 PE=1 SV=1	False
Q9SLK0	-0.23	0.000605439	0.024419573	ICDH	SOL	Peroxisomal isocitrate dehydrogenase [NADP] OS=Arabidopsis thaliana OX=3702 GN=ICDH PE=1 SV=1	True
Q9SLK2	1.17	0.004712981	0.019862917	ALIS3	MEM	ALA-interacting subunit 3 OS=Arabidopsis thaliana OX=3702 GN=ALIS3 PE=1 SV=1	True
Q9SLL7	0.89	0.020638377	0.086062729	RPL31A	SOL	60S ribosomal protein L31-1 OS=Arabidopsis thaliana OX=3702 GN=RPL31A PE=3 SV=1	False
Q9SLM4	-0.22	0.120520423	0.170965698	At2g40980	MEM	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g40980 PE=1 SV=2	False
Q9SLM6	0.19	0.151426129	0.206002492	GSTF3	MEM	Glutathione S-transferase F3 OS=Arabidopsis thaliana OX=3702 GN=GSTF3 PE=2 SV=1	False
Q9SLN5	-0.2	0.99439662	0.995271746	MAP1A	SOL	Methionine aminopeptidase 1A OS=Arabidopsis thaliana OX=3702 GN=MAP1A PE=1 SV=1	False
Q9SLV3	0.41	0.054388729	0.091073242	ZW9	MEM	At1g58270/F19C14_8 OS=Arabidopsis thaliana OX=3702 GN=ZW9 PE=1 SV=1	False
Q9SMM7	-0.81	0.039209931	0.117903776	T8P19.230	SOL	HXXXD-type acyl-transferase family protein OS=Arabidopsis thaliana OX=3702 GN=T8P19.230 PE=1 SV=1	False
Q9SMM8	-0.38	0.065840265	0.156013714	DEK1	SOL	DEK domain-containing chromatin-associated protein 1 OS=Arabidopsis thaliana OX=3702 GN=DEK1 PE=1 SV=1	False
Q9SMM9	1.4	0.010757763	0.064520528	CXE13	SOL	Probable carboxylesterase 13 OS=Arabidopsis thaliana OX=3702 GN=CXE13 PE=1 SV=1	False
Q9SMN0	0.11	0.152428949	0.20706362	CXE12	MEM	Probable carboxylesterase 12 OS=Arabidopsis thaliana OX=3702 GN=CXE12 PE=1 SV=1	False
Q9SMN1	-1.23	0.001249768	0.010275314	GAMMACAL2	MEM	Gamma carbonic anhydrase-like 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GAMMACAL2 PE=1 SV=1	True
Q9SMQ6	-0.27	0.013573433	0.035838067	RABA4B	MEM	Ras-related protein RABA4b OS=Arabidopsis thaliana OX=3702 GN=RABA4B PE=1 SV=1	True
Q9SMR7	0.81	0.0094826	0.029432799	At4g39860	MEM	Hematological/neurological-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g39860 PE=1 SV=1	True
Q9SMT7	0.75	0.001350914	0.010612038	AAE3	MEM	Oxalate--CoA ligase OS=Arabidopsis thaliana OX=3702 GN=AAE3 PE=1 SV=1	True
Q9SMU7	0.1	0.621717739	0.697145695	SRP9	SOL	Signal recognition particle 9 kDa protein OS=Arabidopsis thaliana OX=3702 GN=SRP9 PE=3 SV=1	False
Q9SMU8	0.87	0.116273254	0.217607196	PER34	SOL	Peroxidase 34 OS=Arabidopsis thaliana OX=3702 GN=PER34 PE=1 SV=1	False
Q9SMV6	0.11	0.514830907	0.573384901	XPO1	MEM	Protein EXPORTIN 1A OS=Arabidopsis thaliana OX=3702 GN=XPO1 PE=1 SV=1	False
Q9SMW7	0.44	0.124773736	0.175685202	BTF3	MEM	Basic transcription factor 3 OS=Arabidopsis thaliana OX=3702 GN=BTF3 PE=1 SV=1	False
Q9SMX3	0.11	0.188410583	0.246570842	VDAC3	MEM	Mitochondrial outer membrane protein porin 3 OS=Arabidopsis thaliana OX=3702 GN=VDAC3 PE=1 SV=3	False
Q9SMY7	0.19	0.000606929	0.024419573	PME44	SOL	Probable pectinesterase/pectinesterase inhibitor 44 OS=Arabidopsis thaliana OX=3702 GN=PME44 PE=2 SV=2	True
Q9SN26	-0.26	0.128588535	0.180318885	PHYL1.1	MEM	Phytolongin Phyl1.1 OS=Arabidopsis thaliana OX=3702 GN=PHYL1.1 PE=2 SV=1	False
Q9SN35	-0.11	0.11286919	0.162543528	RABA1D	MEM	Ras-related protein RABA1d OS=Arabidopsis thaliana OX=3702 GN=RABA1D PE=1 SV=1	False
Q9SN38	2.02	0.000384767	0.006560809	RLP51	MEM	Receptor-like protein 51 OS=Arabidopsis thaliana OX=3702 GN=RLP51 PE=1 SV=1	True
Q9SN46	-0.51	0.082821821	0.176357302	LRX5	SOL	Leucine-rich repeat extensin-like protein 5 OS=Arabidopsis thaliana OX=3702 GN=LRX5 PE=2 SV=2	False
Q9SN86	0.27	0.026237238	0.096523931	At3g47520	SOL	Malate dehydrogenase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At3g47520 PE=1 SV=1	False
Q9SN95	0.16	0.058250197	0.144623193	UXS5	SOL	UDP-glucuronic acid decarboxylase 5 OS=Arabidopsis thaliana OX=3702 GN=UXS5 PE=2 SV=1	False
