TAIR	log2fc	pvalue	fdr	significant
AT1G12820	0.16061720285082642	0.1800273403318685	0.45970247778982015	False
AT1G12830	0.3424411222317004	0.06674537523440378	0.2653648265441642	False
AT1G12840	-0.10206195383451871	0.23264912670029259	0.524141194016557	False
AT1G12845	0.3963832288055928	0.28702191081158435	0.58472469180201	False
AT1G12850	-0.12599662171352383	0.26821374292278466	0.5640690588728713	False
AT1G12855	-0.15002041886874143	0.9058330938655157		False
AT1G12860	0.13221112138953534	0.37276787490528573	0.6620475307917146	False
AT1G12870	1.0090678538439728	0.6137649499131678		False
AT1G12880	0.08166158199295497	0.7621204159640232	0.8992536963307333	False
AT1G12890	1.698999645126842	0.39083410060372614		False
AT1G12900	-0.016681040198244127	0.8708872533842286	0.9491716423701354	False
AT1G12910	0.4326766453566012	0.0032754425654275532	0.03952778515888441	True
AT1G12920	0.021797752363461508	0.8231964529217644	0.9271455973905076	False
AT1G12930	0.05158403594170405	0.6949510742042568	0.8656918487008224	False
AT1G12950	-0.7663360647601254	0.5099525749853693		False
AT1G12970	0.7402881970906786	0.00018157134312780734	0.0050560031785949235	True
AT1G12980	1.4093369374195035	0.306345356714804		False
AT1G12990	1.3462230662705836	5.68508720287137e-10	2.2876848919671726e-07	True
AT1G13000	0.06894578268889143	0.5886231788182175	0.8089254289285944	False
AT1G13020	-0.16181695821843115	0.2470041649180762	0.5400334299176177	False
AT1G13030	-0.3101072317510369	0.1365061625682834	0.39645049468471244	False
AT1G13040	0.42554993226927945	0.05771471841109548	0.24421653893024312	False
AT1G13050	-0.1497140705785552	0.6689632092563536	0.8506917975041426	False
AT1G13060	-0.03975564420608097	0.6512958570699456	0.8412608296813486	False
AT1G13080	-0.47065371591758676	0.012217535764973949	0.09470673030811133	False
AT1G13090	0.024336188287629335	0.8565772597373812	0.943367066245583	False
AT1G13100	-0.35398143016151457	0.046627420701568924	0.21688383258956204	False
AT1G13110	-0.654153846542872	0.0023295371189359176	0.031025709733588286	True
AT1G13120	-0.05344055569161654	0.7065300440381921	0.8714823809173465	False
